target,source,flow
03F1710S,01F3525S,4
03F4142N,01F0979N,2
01F3083N,01H0579N,1
03F1215N,03F0846N,1
01F3227N,01F0880N,1
03F3211S,03F3259S,6
03F3496N,01F1802N,3
03F0648S,01F2089S,2
03F2614S,03F3392S,13
03F1215S,01F1960S,10
03F0846N,01H0200N,4
03F0961S,01F3366S,3
03F0525S,01F0880S,13
03F0525S,03F2336S,3
01F1960N,01F1292N,6
03F2260N,03F0996N,1
01F2089S,01F3590S,23
01F2483N,01F0233N,2
01F3696N,01F2714N,9
01F0293S,03F0961N,1
05F0287S,05F0287S,151
03F1332S,03F2336S,2
01F3083S,01F3561S,2
01F0532S,03F2235S,1
03F0337S,01F2089S,6
01F2514S,01F3561S,1
03F2129S,03F2336S,273
01H0163S,03F1395S,1
01F0155N,01F0155N,1606
01F1572N,03F0394N,7
01H0305S,03F1779S,8
03A0041S,01F0233N,3
01F1045N,01H0271N,36
01F0061S,03F0559S,16
03F2153N,01F1960S,22
01F1906S,01F3686S,15
01F1839N,03F0447N,6
01F1725N,03F1257N,4
01F3366N,03F3307N,4
01F0005S,01F3252S,1
03F1215N,01F0509N,7
03F1710S,03F3854S,2
03F3670N,03F2153N,2
01F3525N,03F3259N,3
03F0698S,03F3854S,9
01F0681N,03F0961S,1
05F0309N,01F0532S,1
03F0698S,01F1802S,26
03F1022S,01F2714S,1
01H0447N,01H0208N,316
03F2100S,03F3259S,4
03F2840N,01F2514S,6
03F1257N,03F0846N,8
05F0438N,05FR143N,417
03F0301S,03F0961S,8
01F0980S,01F2514S,16
01F2394N,01H0208N,1
01F1572N,01F0928N,8
03F1257S,03F1739S,14
03F0337S,03F2447N,1
01F3019N,01F0979N,4
01F0880N,01F0557N,24
01F0980S,01F3083S,9
01F2514N,01F1621N,2
01F1774N,03F1332N,9
03F0698S,01F2483S,2
01F1839S,03F2129S,6
03F0447N,01F0233N,25
01F2249S,01F3460S,2
01H0579S,03F1739S,13
01F0061S,01F2714N,1
03F1710S,01F2483S,1
01F1664N,03F0338N,7
03F1633S,01F2866S,1
03F0996S,01F0256N,2
01F1389N,01F0061N,1
03F3496N,01F3227S,4
03F1128S,01F2714S,3
03F3743N,05F0309S,1
03F3211S,03F3307S,16
03F1128S,01F1123N,1
03F3101N,01F1802N,1
03F0447N,03F0116S,3
01F0467N,01F0017N,11
03F2100N,03F0961N,6
03F3496N,03F3496S,2
01F0578S,03F1161S,11
03F1651S,01F2089S,10
03F1651N,01H0163S,1
03F2129S,03F2415S,277
03A0015S,01F1774S,9
03F0559N,01F0182S,1
01F0980S,01F3640S,43
05F0287N,01F0509N,3
01F1389S,03F2194S,1
03F1161N,01F0557S,1
03F0337S,03F2079S,7
03F2535N,03F1779N,3
01F0664N,01H0271N,45
03F1161N,01F1774S,1
01F2249N,03F1779N,14
03F1022N,01F1802S,10
03F2614S,01F3019S,2
03A0015S,01F0557S,3
01F2514N,03F1739S,1
01F0509N,01F0509N,2999
03F1332S,03F2415S,2
03F2447S,03F2923S,28
01F0880S,01F1572S,9
01F1123N,05F0494S,1
01H0579N,03F0559S,1
01F0182S,01F0880S,20
03F2747S,03F2100N,1
01H0271N,05F0309S,69
03F4142N,01F0750N,2
01F0578S,01F0578S,1117
03F1944S,01F2249S,9
01F3185N,01F3185S,1
03F3588S,01F3227N,1
03F1022N,01F2483S,1
01F1802S,01F3525S,33
03F3307N,01F2011N,1
03F2985S,03F4168S,5
01F2930S,01F2930N,3
01F0557N,03F0217N,2
01F0750N,01F0061N,11
03F1633S,03F4142S,1
01F2603N,01F0339N,14
01H0447N,01F0213N,73
03F1992N,01F2011S,69
01F0248S,03F2152S,1
01F2674S,03F2985N,18
01F0681N,03F1651S,1
03F0158S,05F0055S,69
03F1779N,03F0338N,9
01F0339S,01F0256N,2
03F2985S,03F3445S,77
01F1906S,01F2394S,31
03F0301S,03F1651S,5
01F1572N,01F0467N,2
01H0305S,01H0334S,10
01F0061N,03F0087S,1
01F3019N,03F1332N,1
01F1960N,03F1739N,4
01F3286S,01F3561S,6
03F0447S,01F3286N,1
01F0413S,03F0559S,1
03F2066N,01F0584N,5
03F2306N,01F1960S,3
01F3559N,01F3398N,4
01F2322S,03F4232S,2
01F2394N,03F0559N,6
01F2483S,01F3525S,11
01F0509N,01F0155N,30
03F0301S,03F0337S,482
01F1774N,01F0979N,185
01F3460N,01F3126N,11
03F1128N,05F0309S,4
01F0467S,01F3286S,1
01F3640N,01F1839N,28
01F1465S,03F2235S,1
03F1651S,03F2079S,47
05F0528N,01H0206S,2
03F0394S,01F2714S,16
01F1465N,03F0394N,24
01F0681N,01F0681S,14
01F2483N,01F0633N,1
03F0116N,01F0880S,4
03F3743N,01F3019N,3
03F0447S,01F2603S,22
01F0155N,01F1802S,1
03F1739N,01F1621N,22
03F1257S,03F1485S,21
03F2079S,01F3590S,1
03F0301S,01F0681S,12
01F3398S,01F3561S,9
03F3445N,03F0996N,1
03F0846N,03F0698N,446
03F3101N,01F0467N,1
01F0532S,03F0846S,1
03F0559S,03F2306S,2
03F2840N,03F2535N,18
03F1992N,03F3743S,1
03F2152S,01F3686S,22
03A0041S,01F0633N,4
01F0017S,03A0041N,27
01F3398N,01F3185N,158
01F1725N,01F1725N,1046
01F3083N,01F3185S,1
01F2425N,01F0339N,22
01F0339S,03F2100S,4
01H0579S,03F1485S,2
01F3525N,01F2011N,21
01F1465N,01F0928N,34
01F3640N,03F0301N,2
01F2011N,03F1128N,1
01F2866N,01F2089N,10
01F1960N,03F2066S,69
03F3854N,01F3736S,1
01H0206S,01F3252S,3
03F1992N,03F3392S,1
03F3259S,03F3259S,121
03F0217S,01F2322S,2
01F1389N,01H0174N,1
03F0201N,05F0055S,4
01F2011N,01H0271N,5
01F2483N,01F2249N,29
03F0996S,03F1051S,334
03F0498N,01F0750S,1
01F1621N,01H0200N,6
03F0136S,05F0287S,87
01F1774S,01F1906S,5
01F0980S,01F0557S,1
03F0648S,01F3366S,1
01F3696N,01F1123N,2
01F2930N,03F2100S,1
01F3460N,03F2125N,8
01F0147S,03F0559S,1
05F0001N,01F0664S,1
01F0928N,01F0017N,8
03F0961S,01F2089S,2
01F0339S,01F1725S,100
01F0980S,01F1774S,320
01F3640N,03F2415N,1
01F3227N,03F0338N,4
01H0305S,01F0532S,12
03F0996S,03F2100S,11
01F0750N,01H0174N,11
03F4142N,03F3916N,78
01H0271N,01F0005N,263
01F2714N,01F1389N,3
03A0041S,01F0248S,3
01F0213N,03F0525S,1
01F1839S,03F2415N,1
03A0015S,01F2514S,1
03F0301N,03F0150N,250
03F1710N,03F0338N,2
01H0334S,03F1633S,1
01F0264S,01F3590S,3
03F0006S,01F1664S,1
03F2078N,01F1774N,1
01F1621N,01F0532N,16
03F3307N,03F3259N,70
01F1725N,01F0509N,57
01F0339N,01F2089S,1
03F1941N,03F1395N,2
03F4142N,01F2827N,1
03F0301S,01F1123S,6
03F0648N,01F0750S,6
01F1465N,01F0467N,14
01F0182S,03F0447N,2
01F1725N,01F0155N,6
03F0996S,01F1725S,38
05F0528N,01F2425S,1
03F1161S,03F1161S,254
03F3670N,01F2866S,1
03F0394S,03F0559S,656
01F3640N,03F2747N,2
05F0055N,01F0155S,6
03F0136S,03F1161S,1
01F3227N,03F4232S,1
03F3101N,03F0394N,2
05F0309N,03F1779S,1
01F3126N,01F1465N,1
05F0438N,01F0467N,1
03F2078N,03F0217N,1
03F0006S,01F1045S,3
03F2152S,01F2394S,9
01F0339S,03F1051S,5
03F0201N,01F0155S,8
05F0001N,01F0005N,23
01F1123N,03F0140N,4
05F0287N,01F1802S,4
03F1051S,03F1161S,142
03F3187N,01H0271N,1
03F4259N,01F2714N,1
01F2394N,01F0029N,1
03F1022N,01F0509N,30
03F2985S,01F1802N,1
03F4259N,03F1051N,1
03F0961S,03F2079S,3
01H0447N,01F0029N,20
03F0394N,01F0017N,12
03F1739N,03F1739S,50
01F2089N,03F2261S,16
03A0041S,03F1779S,9
01F3525N,01F2249N,10
01F0005S,01F0099S,288
01F0532S,01F3460S,1
01F3640N,01F1123N,5
01F2674S,03F4142S,1
01F1664N,03F1022S,5
03F0447S,03F0783S,74
03F2100N,01F3590S,1
03F3496S,01F3640S,109
01F0509S,01F1725S,46
01F1664N,03F0525N,6
03F0961S,03F2194S,2
01F0928S,01F3126S,8
03F1215N,03F0698N,6
03F2194S,01F3640S,13
03F2747S,03F4168S,1
03F2153N,01F0979N,3
01F0584N,01F0467N,295
03F2336N,03F0150N,1
01F0467S,01F0293N,1
03F2129S,03F3392S,10
03F1992N,03F0447N,13
01F0750S,03F1860S,4
03F2306S,03F3211S,1
01F1839S,01F2714S,26
01F3227S,01F3640S,312
03F2231N,03F0648N,3
